feature,importance
month_num,0.22898671662816514
line_Line-Charlie,0.09944330667653987
shift_Night,0.07649743747235091
shift_Swing,0.05842974855653329
insp_type_Receiving,0.05464976139162329
line_Line-Delta,0.05250900097287595
insp_type_IQC,0.051146946740035414
line_Line-Bravo,0.0445248391398336
insp_type_In-Process,0.042426579406282056
insp_type_Final,0.042286174742826414
part_PR-5501-NOZZLE,0.03233052641425231
part_GD-2202-SERVO,0.03089151672599353
part_ST-8801-FASTENER,0.02879828835738578
part_PR-5502-NOZZLE,0.027249383988162852
part_AV-3302-PCB,0.026962563386896933
part_AS-7741-FRAME,0.02694403265991951
part_GD-2201-SERVO,0.02581721315569564
part_ST-8802-FASTENER,0.02557881689667847
part_AV-3301-PCB,0.024527146687949114
hour_num,0.0
